0.1;Jarvis to Gale, no run		  
0.2;Jarvis to Gale, no run		  
0.3;Jarvis to Gale, no run		  
0.4;Jarvis to Gale, 1 run		  
0.5;Jarvis to Finch, no run		  
0.6;Jarvis to Finch, 1 run		  
1.1;Bailey to Finch, FOUR   
1.2;Bailey to Finch, no run		  
1.3;Bailey to Finch, FOUR   
1.4;Bailey to Finch, 2 runs		  
1.5;Bailey to Finch, FOUR   
1.6;Bailey to Finch, 2 runs		  
2.1;Clark to Gale, no run		  
2.2;Clark to Gale, no run		  
2.3;Clark to Gale, 1 run		  
2.4;Clark to Finch, 1 run		  
2.5;Clark to Gale, FOUR   
2.6;Clark to Gale, 1 run		  
3.1;Jarvis to Gale, FOUR   
3.2;Jarvis to Gale, 1 run		  
3.3;Jarvis to Finch, 1 leg bye		  
3.4;Jarvis to Gale, 1 wide		  
3.4;Jarvis to Gale, SIX   
3.5;Jarvis to Gale, 1 run		  
3.6;Jarvis to Finch, 1 wide		  
3.6;Jarvis to Finch, 1 wide		  
3.6;Jarvis to Finch, 1 run		  
4.1;Bailey to Finch, 1 run		  
4.2;Bailey to Gale, no run		  
4.3;Bailey to Gale, FOUR   
4.4;Bailey to Gale, 1 run		  
4.5;Bailey to Finch, FOUR   
4.6;Bailey to Finch, 1 run		  
5.1;Clark to Finch, 1 run		  
5.2;Clark to Gale, 1 run		  
5.3;Clark to Finch, 2 runs		  
5.4;Clark to Finch, FOUR   
5.5;Clark to Finch, 1 run		  
5.6;Clark to Gale, 1 run		  
6.1;Parry to Gale, 1 leg bye		  
6.2;Parry to Finch, OUT   
6.3;Parry to Gale, 1 run		  
6.4;Parry to Maxwell, 1 run		  
6.5;Parry to Gale, 1 run		  
6.6;Parry to Maxwell, OUT   
7.1;Lilley to Gale, no run		  
7.2;Lilley to Gale, 1 run		  
7.3;Lilley to Bairstow, 1 run		  
7.4;Lilley to Gale, 1 leg bye		  
7.5;Lilley to Bairstow, 1 run		  
7.6;Lilley to Gale, FOUR   
8.1;Parry to Bairstow, 2 runs		  
8.2;Parry to Bairstow, SIX   
8.3;Parry to Bairstow, 2 runs		  
8.4;Parry to Bairstow, 1 run		  
8.5;Parry to Gale, 1 run		  
8.6;Parry to Bairstow, 1 run		  
9.1;Croft to Bairstow, no run		  
9.2;Croft to Bairstow, 1 run		  
9.3;Croft to Gale, 1 run		  
9.4;Croft to Bairstow, 1 run, OUT   
9.5;Croft to Bairstow, 1 run		  
9.6;Croft to Hodd, no run		  
10.1;Parry to Bairstow, 1 run		  
10.2;Parry to Hodd, OUT   
10.3;Parry to Bairstow, 1 run		  
10.4;Parry to Leaning, 1 run		  
10.5;Parry to Bairstow, 1 run		  
10.6;Parry to Leaning, no run		  
11.1;Croft to Bairstow, SIX   
11.2;Croft to Bairstow, OUT   
11.3;Croft to Bresnan, 1 run		  
11.4;Croft to Leaning, 1 run		  
11.5;Croft to Bresnan, no run		  
11.6;Croft to Bresnan, 2 runs		  
12.1;Parry to Leaning, 1 run		  
12.2;Parry to Bresnan, no run		  
12.3;Parry to Bresnan, 1 run		  
12.4;Parry to Leaning, SIX   
12.5;Parry to Leaning, 1 run		  
12.6;Parry to Bresnan, no run		  
13.1;Lilley to Leaning, FOUR   
13.2;Lilley to Leaning, no run		  
13.3;Lilley to Leaning, 2 runs		  
13.4;Lilley to Leaning, OUT   
13.5;Lilley to Bresnan, 1 run		  
13.6;Lilley to Pyrah, no run		  
14.1;Croft to Bresnan, 1 run		  
14.2;Croft to Pyrah, 1 run		  
14.3;Croft to Bresnan, SIX   
14.4;Croft to Bresnan, SIX   
14.5;Croft to Bresnan, 1 run		  
14.6;Croft to Pyrah, 1 run		  
15.1;Lilley to Pyrah, 1 run		  
15.2;Lilley to Bresnan, 1 run		  
15.3;Lilley to Pyrah, OUT   
15.4;Lilley to Bresnan, no run		  
15.5;Lilley to Bresnan, 1 run		  
15.6;Lilley to Middlebrook, 1 run		  
16.1;Jarvis to Middlebrook, 2 runs		  
16.2;Jarvis to Middlebrook, 2 runs		  
16.3;Jarvis to Middlebrook, 1 run		  
16.4;Jarvis to Bresnan, FOUR   
16.5;Jarvis to Bresnan, 1 run		  
16.6;Jarvis to Middlebrook, 1 run		  
17.1;Croft to Middlebrook, 2 runs		  
17.2;Croft to Middlebrook, 1 run		  
17.3;Croft to Bresnan, SIX   
17.4;Croft to Bresnan, SIX   
17.5;Croft to Bresnan, FOUR   
17.6;Croft to Bresnan, 1 run		  
18.1;Jarvis to Bresnan, 1 run		  
18.2;Jarvis to Middlebrook, 2 runs		  
18.3;Jarvis to Middlebrook, FOUR   
18.4;Jarvis to Middlebrook, 1 run		  
18.5;Jarvis to Bresnan, 1 run		  
18.6;Jarvis to Middlebrook, SIX   
19.1;Lilley to Bresnan, SIX   
19.2;Lilley to Bresnan, OUT   
19.3;Lilley to Middlebrook, FOUR   
19.4;Lilley to Middlebrook, 2 runs		  
19.5;Lilley to Middlebrook, 1 leg bye		  
19.6;Lilley to Patterson, 1 run		  
